Baan Thai - The Oberoi Grand,21523,428
Hindusthan Sweets,22904,429
Advieh - Hotel Celesta,24117,430
Coffee World,21811,431
Macazzo,18377090,432
Cafe Unplugged,25610,433
We.Desi,18354584,434
Vault,24654,435
Fusion Fantasea,18377076,436
Gelato Italiano,20933,437
47 South Tangra Road,21815,438
Red Xpress,21532,439
Cafe Mi Casa,25702,440
Nirala's China Town,20363,441
Gossip,21465,442
Go Where,23325,443
Charnock's,21604,444
First Flush,18361635,445
Rasam - The Stadel,21371,446
One Way Cafe,23875,447
The Funjabi Tadka,23213,448
Melodrama,25377,449
Dada Boudi Restaurant,17983797,450
Waldorf,20878,451
China Calling,25464,452
Durbari - Swissotel Kolkata Neotia Vista,21502,453
Raj Restaurant,20784,454
Drumstick,21761,455
Guchhi - Hyatt Regency,20940,456
Hamro Momo,21147,457
Silver Screen,21722,458
Bijoli Grill,20079,459
First Innings Multicuisine Restaurant - The Stadel,21360,460
Hotel Swagath,21507,461
The Taste Maker,20734,462
Hotel Taaj,21296,463
Prema Vilas,22576,464
Mythh - HHI,21368,465
Tandoori Darbar,21300,466
Zen - The Park,20848,467
Fiesta,24590,468
Goin West,18213991,469
Haveli,21383,470
The Cream & Fudge Factory,20969,471
Sand - De Sovrani,22933,472
Mrs. Magpie,18386792,473
Cookie Man,22008,474
BB's Restaurant,20063,475
The Lords,20692,476
Skyline Confectioners,21843,477
Zyka,21294,478
Oye Balle Balle Dhaba,18377093,479
Bong Connection,22572,480
Afraa Deli,22113,481
Pizza Hut,22259,482
Ambrosia Restaurant,22649,483
Souk - Taj Bengal,21497,484
The Coastal Macha,18382762,485
Hing Bar & Restaurant,21609,486
Aromas - Kenilworth Hotels,20866,487
London Lounge,24463,488
What's In D Name,18368662,489
The Tea Junction,21064,490
Splash - Swissotel Kolkata Neotia Vista,21557,491
Nocturne,21432,492
Maharani,23382,493
Jam House,18325249,494
Express Food Plaza,25037,495
Chanda's Khaukswey,18226441,496
Goutam's,22453,497
Simply Sizzlers,22820,498
Shinryu Restaurant & Bar,22571,499
Bhajohori Ranna,23305,500
Route 17 - The Steakhouse,18414426,501
Mithai,22722,502
Mumble's Lab,18259447,503
